Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,20620.70063,20670.65566,20434.29944,20834.5102,22567.82492,23302.83199,24014.94427,25921.02605,27546.89939,24631.43486,24271.94042,25324.72036,24709.60226,25018.30895,25528.40378,25796.38025,25251.63968,25655.10202
Afghanistan,AFG,,117.4096908,187.845095,198.7285436,219.1413528,250.2941299,272.563077,369.835796,373.3611163,445.8932979,553.3002894,603.5370231,669.0090509,631.7449706,612.0696514,584.0259021,561.7787463,550.0684588
Angola,AGO,555.2969419,526.168743,711.181716,779.4683056,1041.086844,1443.991929,2062.415149,2878.837144,3868.578883,3347.84485,3529.053482,4299.012889,4598.249988,4804.616884,4709.312024,3695.793748,3110.808183,4100.289786
Albania,ALB,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.178068,4247.614308,4414.72314,4575.763787,3954.022783,4146.89625,4537.579056
Andorra,AND,21435.9264,22037.36055,24518.34306,32438.6839,38255.9505,41185.98902,43666.98514,48510.46728,47712.29908,43215.68701,39627.66352,40919.18328,38167.09575,40215.43532,,,,39146.54884
Arab World,ARB,2589.64845,2495.366312,2462.791442,2721.615721,3117.660806,3745.79093,4336.718583,4937.598218,6114.039959,5157.252898,5916.329624,6856.593678,7341.239892,7435.889121,7446.369661,6430.071957,6153.069547,6235.420578
United Arab Emirates,ARE,33071.26869,31061.52935,31311.35936,33230.52318,36161.17061,39439.80197,42372.22166,42672.61323,45758.90554,33072.57517,35049.14832,40462.31209,42112.23565,43350.64268,44449.74035,39101.74689,37622.20746,40698.84934
Argentina,ARG,7669.273916,7170.694674,2579.193168,3330.437006,4251.574348,5076.883829,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13467.10236,12449.21685,14398.35877
Armenia,ARM,622.7427477,694.4305119,783.2616099,930.1661567,1191.96192,1643.758397,2158.002909,3138.808703,4010.026997,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3609.654776,3606.152057,3936.79832
American Samoa,ASM,,,8751.766529,8914.525433,8639.308855,8508.406915,8456.947997,8980.536414,9871.997194,12058.26382,10352.82276,10375.99422,11660.32953,11553.69121,11508.55927,11541.85498,,11394.4753
Antigua and Barbuda,ATG,9875.161736,9358.154162,9386.716452,9739.82556,10352.8374,11371.93895,12724.39377,14252.29452,14703.31923,13012.46692,12126.87614,11929.34991,12565.44197,12224.86416,12888.29667,13566.90541,14353.37881,14803.01093
Australia,AUS,21690.921,19517.84168,20081.81763,23465.38559,30472.37977,34016.71483,36118.28381,40991.98289,49664.68504,42742.99898,51874.08048,62245.10029,67677.63477,67792.30386,62214.60912,56554.03876,49927.81951,53793.53726
Austria,AUT,24517.26745,24489.73553,26351.37568,32102.93055,36693.40262,38242.04252,40430.99361,46586.65025,51386.37665,47654.18721,46657.0629,51126.74139,48333.57273,50504.71532,51322.63997,43665.00947,44176.51522,47380.82964
Azerbaijan,AZE,655.0974326,703.6838434,763.0730858,883.6439965,1045.02163,1578.40239,2473.085776,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.335728,7875.756953,7891.299776,5500.310382,3876.936433,4135.138601
Burundi,BDI,135.9984455,133.7427689,122.4335893,112.8493703,127.4296648,150.5070434,165.8794176,170.7999005,196.2472628,204.9446502,231.1943256,260.4799073,265.2856051,282.7555252,312.7489794,303.6810223,285.7274421,292.0052103
Belgium,BEL,23207.40591,23121.56635,25052.33028,30743.95693,35589.71295,36967.28292,38852.36103,44403.83131,48424.58927,44880.56015,44380.23741,47702.77415,44740.5717,46510.38647,47439.39684,40356.875,41096.1573,43467.4459
Benin,BEN,374.1923942,378.736054,418.6985763,519.2922847,583.4093514,601.799977,625.830092,706.0535419,820.1513498,793.45243,757.6959074,825.9427854,837.9505001,915.2674586,943.686575,783.947091,789.4404107,827.3936794
Burkina Faso,BFA,226.4759814,235.4912324,260.7635413,332.3443051,371.3230865,406.9988071,422.6332374,475.1100122,569.7612784,552.7455521,575.4464527,666.8402783,673.8227,699.0452847,705.1464113,615.592225,649.7304837,642.0371483
Bangladesh,BGD,405.6033071,402.5981152,400.6135745,432.7388972,460.7579167,484.1554071,494.0501466,541.0651484,615.7775411,681.1205368,757.6717572,835.7893401,856.342857,951.8894535,1084.56543,1210.15812,1358.779752,1516.51327
Bulgaria,BGR,1609.280586,1764.907387,2087.534843,2710.468024,3381.507837,3893.68998,4513.13628,5932.899677,7296.122479,6955.987733,6843.263289,7813.803499,7378.025539,7674.860559,7853.335191,6993.47736,7350.795801,8228.01157
Bahrain,BHR,13636.34668,12868.211,13102.33457,14221.99259,15846.47641,17959.17854,19307.99549,20977.11053,23067.56535,19356.67236,20722.10389,22810.10242,23649.36661,25010.18329,24983.37902,22688.87824,22354.16707,23739.15717
"Bahamas, The",BHS,21241.2367,21497.52091,22506.35114,22009.20043,21996.40649,23405.45302,23719.10788,24301.24325,23652.33053,22037.10801,21921.55906,21523.97372,22575.59019,22590.39338,22550.23301,22888.13405,23124.38655,30762.01244
Bosnia and Herzegovina,BIH,1461.75052,1524.412022,1761.537647,2214.732246,2650.642661,2968.411806,3404.321698,4180.292176,5075.316064,4697.809732,4611.470298,5050.156834,4716.673325,5035.86555,5193.904932,4574.090787,4708.718261,5148.208517
Belarus,BLR,1276.288034,1244.373185,1479.383142,1819.525644,2378.339207,3126.071767,3848.215966,4735.484827,6376.183153,5176.172649,6030.388707,6519.710753,6940.243915,7978.825443,8318.429294,5949.110677,4989.254611,5733.30721
Belize,BLZ,3364.423711,3419.275719,3556.561825,3679.909523,3831.538019,3933.332215,4187.37803,4324.876427,4470.220796,4258.788611,4344.150177,4516.24675,4673.63848,4688.538443,4852.223666,4849.997495,4810.565902,4971.201636
Bermuda,BMU,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,,
