ISO_3DIGIT,Annual_temp
AFG,12.92
AGO,21.51
ALB,11.27
ARE,26.83
ARG,14.22
ARM,6.37
AUS,21.51
AUT,6.19
AZE,12.22
BDI,20.27
BEL,9.51
BEN,27.46
BFA,28.18
BGD,25.47
BGR,10.40
BHS,25.06
BIH,9.02
BLR,6.29
BLZ,25.06
BOL,20.98
BRA,24.92
BRN,25.93
BTN,8.58
BWA,21.48
CAF,24.84
CAN,-7.14
CHE,4.75
CHL,8.37
CHN,6.33
CIV,26.30
CMR,24.53
COD,24.04
COG,24.52
COL,24.40
COM,23.99
CRI,23.85
CUB,25.13
CYP,18.71
CZE,7.67
DEU,8.50
DJI,27.64
DNK,7.82
DOM,23.93
DZA,22.58
ECU,21.33
EGY,22.12
ERI,26.07
ESH,23.39
ESP,13.03
EST,5.03
ETH,22.37
FIN,1.35
FJI,23.37
FLK,5.79
FRA,10.54
GAB,25.00
GBR,8.31
GEO,7.36
GHA,27.25
GIN,25.55
GLP,25.02
GMB,26.77
GNB,26.61
GNQ,24.13
GRC,13.66
GTM,23.07
GUF,25.62
GUY,25.80
HND,23.39
HRV,10.47
HTI,24.48
HUN,10.06
IDN,25.72
IND,23.95
IRL,9.11
IRN,16.93
IRQ,21.58
ISL,1.35
ISR,19.70
ITA,11.50
JAM,24.47
JOR,18.35
JPN,10.36
KAZ,5.99
KEN,24.50
KGZ,1.09
KHM,26.94
KOR,10.66
KSV,8.42
KWT,25.15
LAO,23.22
LBN,15.61
LBR,25.25
LBY,21.90
LKA,26.76
LSO,11.97
LTU,6.24
LUX,8.88
LVA,5.63
MAR,17.23
MDA,9.67
MDG,22.01
MEX,20.54
MKD,9.85
MLI,28.30
MMR,22.96
MNE,7.91
MNG,-0.50
MOZ,23.69
MRT,27.69
MUS,23.13
MWI,21.98
MYS,25.14
NAM,20.04
NCL,21.96
NER,27.24
NGA,26.78
NIC,24.59
NLD,9.20
NOR,0.75
NPL,12.74
NZL,9.98
OMN,25.45
PAK,19.98
PAN,24.72
PER,19.46
PHL,25.33
PNG,25.05
POL,7.87
PRI,24.28
PRK,4.86
PRT,14.97
PRY,23.48
QAT,26.92
REU,21.08
ROU,8.81
RUS,-6.32
RWA,19.01
SAU,24.65
SDN,26.82
SEN,27.87
SJM,-9.14
SLB,25.68
SLE,26.04
SLV,24.77
SOM,26.77
SRB,10.18
SSD,26.93
SUR,25.77
SVK,7.27
SVN,8.04
SWE,1.55
SWZ,20.41
SYR,17.65
TCD,26.65
TGO,26.80
THA,26.25
TJK,3.03
TKM,15.22
TLS,24.97
TTO,25.86
TUN,19.36
TUR,10.93
TZA,22.31
UGA,22.60
UKR,8.21
URY,17.57
USA,6.75
UZB,12.52
VCT,26.82
VEN,25.32
VIR,25.74
VNM,24.07
VUT,23.84
YEM,23.16
ZAF,17.60
ZMB,21.58
ZWE,21.03
